Year,Day,Hour,Solar,Rain,Wind,Tair,Tsoil,D,CO2
2005,141,0,0,0,1.292748179,-1.714750479,-1.714750479,0.537650704,40
2005,141,1,0,0,0.760814846,-3.433324689,-3.433324689,0.473012982,40
2005,141,2,0,0,0.833423856,-1.839768096,-1.839768096,0.5326985,40
2005,141,3,0,0,0.533910167,0.578430595,0.578430595,0.414326606,40
2005,141,4,0,0,0.1178639,1.315868295,1.315868295,0.268079361,40
2005,141,5,0,0,1.068545185,1.586331402,1.586331402,0.405679534,40
2005,141,6,2.454193818,0,0.567729787,1.235533737,1.235533737,0.278477296,40
2005,141,7,62.62154579,0,0.278217062,4.435972845,4.435972845,0.229654079,40
2005,141,8,150.3287697,0,0.625031285,5.930836911,5.930836911,0.338988382,40
2005,141,9,235.0974197,0,0.535402579,7.706788928,7.706788928,0.448093352,40
2005,141,10,305.6708679,0,0.53171792,9.380583789,9.380583789,0.495793025,40
2005,141,11,356.4109802,0,0.538684033,12.04598087,12.04598087,0.543863809,40
2005,141,12,391.8428802,0,0.306393937,14.65838681,14.65838681,0.958482287,40
2005,141,13,404.1788177,0,2.055416727,14.86413134,14.86413134,1.092507648,40
2005,141,14,389.2028198,0,2.122442485,14.19221477,14.19221477,0.90203167,40
2005,141,15,354.1658249,0,1.823824177,10.13474866,10.13474866,0.532427535,40
2005,141,16,297.7097549,0,1.308359768,10.37038886,10.37038886,0.524245465,40
2005,141,17,224.9325104,0,0.889988089,9.250493326,9.250493326,0.471351968,40
2005,141,18,139.2976418,0,1.447800231,7.296209675,7.296209675,0.311908755,40
2005,141,19,53.20351124,0,0.838658271,5.851399824,5.851399824,0.192784798,40
2005,141,20,0,0,2.069783635,3.817321514,3.817321514,0.23680984,40
2005,141,21,0,0,1.468071935,4.567317565,4.567317565,0.219626922,40
2005,141,22,0,0,3.059169676,2.885294355,2.885294355,0.288074131,40
2005,141,23,0,0,2.937196376,2.785763989,2.785763989,0.17765766,40
2005,142,0,0,0,2.283986659,1.404109834,1.404109834,0.209561591,40
2005,142,1,0,0,1.583228539,0.332760316,0.332760316,0.256142615,40
2005,142,2,0,0,6.078033983,1.311278891,1.311278891,0.341764804,40
2005,142,3,0,0,5.043133444,1.351482866,1.351482866,0.53833414,40
2005,142,4,0,0,4.882757639,1.065933013,1.065933013,0.390352262,40
2005,142,5,0,0,5.197903796,-0.244065997,-0.244065997,0.349746762,40
2005,142,6,2.955701123,0,8.172234991,-0.052079618,-0.052079618,0.397429597,40
2005,142,7,64.68811703,0,7.966504872,4.147898938,4.147898938,0.40350712,40
2005,142,8,148.6038284,0,6.640538575,9.239872871,9.239872871,0.333792986,40
2005,142,9,230.74086,0,5.628580406,12.31026238,12.31026238,0.450262407,40
2005,142,10,302.3187866,0,4.838076203,13.19404063,13.19404063,0.58905069,40
2005,142,11,355.4065552,0,4.416761546,14.13503882,14.13503882,0.66686331,40
2005,142,12,390.2774353,0,5.834087697,11.53386347,11.53386347,0.552705865,40
2005,142,13,395.906601,0,4.947826243,11.43186228,11.43186228,0.293128419,40
2005,142,14,380.6028748,0,4.160009909,12.01401758,12.01401758,0.153291769,40
2005,142,15,347.436554,0,3.417916498,10.59655172,10.59655172,0.128299582,40
2005,142,16,292.7796478,0,3.151259244,10.40816707,10.40816707,0.14816446,40
2005,142,17,220.0317383,0,2.318979812,9.247446941,9.247446941,0,40
2005,142,18,137.6861191,0,1.582897943,8.581921641,8.581921641,0.134102066,40
2005,142,19,53.39398098,0,1.005178463,7.481125451,7.481125451,0.173371152,40
2005,142,20,0,0,0.303907973,6.904994153,6.904994153,0.172898069,40
2005,142,21,0,0,0.141391117,5.449778037,5.449778037,0.180972635,40
2005,142,22,0,0,1.086446636,6.772846262,6.772846262,0.297425328,40
2005,142,23,0,0,1.966925673,6.630894507,6.630894507,0.34237437,40
2005,143,0,0,0,1.814206857,2.99387696,2.99387696,0.437639945,40
2005,143,1,0,0,1.19736492,3.605774653,3.605774653,0.421719746,40
2005,143,2,0,0,2.748612181,1.454543085,1.454543085,0.472110858,40
2005,143,3,0,0,1.994122892,0.607249974,0.607249974,0.325946315,40
2005,143,4,0,0,1.635191379,2.175987071,2.175987071,0.336976437,40
2005,143,5,0,0,1.043590061,-1.185379868,-1.185379868,0.423473927,40
2005,143,6,3.518055187,0,0.702635847,-0.531171842,-0.531171842,0.549012307,40
2005,143,7,68.95367336,0,0.397552517,3.362499632,3.362499632,0.641620303,40
2005,143,8,154.1453209,0,0.261161943,7.033952468,7.033952468,0.595502954,40
2005,143,9,236.7021713,0,0.545649216,8.090152541,8.090152541,0.508969117,40
2005,143,10,304.6035461,0,0.928829622,7.210454122,7.210454122,0.216791919,40
2005,143,11,355.3204651,0,2.176767001,12.29315183,12.29315183,0.459032201,40
2005,143,12,391.2758636,0,1.872268842,12.27735947,12.27735947,0.661494875,40
2005,143,13,400.5062408,0,2.008741406,13.10404876,13.10404876,0.7037972,40
2005,143,14,388.8720398,0,1.663887438,11.64089409,11.64089409,0.60754818,40
2005,143,15,359.0921021,0,1.854915681,8.040774447,8.040774447,0.576495861,40
2005,143,16,302.8968582,0,1.743633402,7.538386936,7.538386936,0.5440361,40
2005,143,17,229.3704376,0,1.512020668,7.593082528,7.593082528,0.562119875,40
2005,143,18,144.8161354,0,1.494478514,4.846189577,4.846189577,0.491535997,40
2005,143,19,55.53267288,0,0.732838886,6.05265939,6.05265939,0.385125101,40
2005,143,20,0,0,0.989538476,4.615774376,4.615774376,0.3683335,40
2005,143,21,0,0,0.539261465,4.590933265,4.590933265,0.229009256,40
2005,143,22,0,0,3.467544146,3.958926677,3.958926677,0.251856307,40
2005,143,23,0,0,2.553435578,2.465036682,2.465036682,0.099754803,40
2005,144,0,0,0,2.233116799,3.280006644,3.280006644,0,40
2005,144,1,0,0,1.621002015,4.115828949,4.115828949,0,40
2005,144,2,0,0,1.915103664,3.005317032,3.005317032,0.035238006,40
2005,144,3,0,0,1.327297674,3.081714682,3.081714682,0.1185366,40
2005,144,4,0,0,1.883296416,4.18482934,4.18482934,0.145177686,40
2005,144,5,0,0,1.824062279,5.020560159,5.020560159,0.113448616,40
2005,144,6,3.648003764,0,1.229706986,5.614522115,5.614522115,0.057749595,40
2005,144,7,63.24549484,0,0.960173018,7.921320708,7.921320708,0.148674854,40
2005,144,8,145.4243393,0,1.018381138,11.90406362,11.90406362,0,40
2005,144,9,228.8029022,0,1.196115729,15.33544078,15.33544078,0.49008397,40
2005,144,10,299.5561066,0,1.088087366,14.59354092,14.59354092,0.470211047,40
2005,144,11,351.7792892,0,1.03338322,16.48420737,16.48420737,0.645796169,40
2005,144,12,384.0750275,0,1.14752192,17.19632091,17.19632091,0.745210172,40
2005,144,13,391.9798126,0,1.467349345,15.56449376,15.56449376,0.427787239,40
2005,144,14,380.6244049,0,1.256851487,14.81183077,14.81183077,0.401576783,40
2005,144,15,347.9385071,0,2.100044206,16.77931206,16.77931206,0.752482315,40
2005,144,16,293.3740845,0,2.462679172,17.19571524,17.19571524,0.831122897,40
2005,144,17,220.9285202,0,3.35524972,19.10822064,19.10822064,1.02910818,40
2005,144,18,137.9424629,0,2.422688482,14.52339794,14.52339794,0.533211305,40
2005,144,19,53.69177103,0,1.525098518,13.33744786,13.33744786,0.380455152,40
2005,144,20,0,0,0.756388089,11.57570363,11.57570363,0.184163716,40
2005,144,21,0,0,2.525153642,8.797621497,8.797621497,0.100685523,40
2005,144,22,0,0,1.728055545,8.175716586,8.175716586,0.348710157,40
2005,144,23,0,0,1.569356148,6.262814628,6.262814628,0.536469283,40
2005,145,0,0,0,1.6570137,6.669281882,6.669281882,0.756823233,40
2005,145,1,0,0,1.112676581,6.224795834,6.224795834,0.762250466,40
2005,145,2,0,0,0.633266784,6.498506727,6.498506727,0.872974268,40
2005,145,3,0,0,0.199802391,7.399899935,7.399899935,0.762646517,40
2005,145,4,0,0,0.01,6.602795332,6.602795332,0.561749341,40
2005,145,5,0,0,0.01,3.403558764,3.403558764,0.588782714,40
2005,145,6,4.187825469,0,0.01,4.516412547,4.516412547,0.552533108,40
